# symbol	expected_crc
sdhci_cqe_irq	0x9a261012
sdhci_dumpregs	0x00dc6d7c
sdhci_enable_clk	0x63337f0e
sdhci_pltfm_init	0x2ef620c5
sdhci_remove_host	0xd7ec7b4b
sdhci_reset	0x9b47877e
sdhci_set_bus_width	0xd130fba9
sdhci_set_power_noreg	0x80930048
sdhci_setup_host	0x4f95bd19
sk_alloc	0xbfb2c506
sk_error_report	0xa9ee2e1b
sk_free	0x56be23e1
skb_add_rx_frag	0x3a6d2842
skb_append_pagefrags	0x40f1684f
skb_checksum	0x7cf442a9
skb_clone	0x434da991
skb_coalesce_rx_frag	0xc894f5d2
skb_copy	0x137d9905
skb_copy_bits	0x0d9a87a8
skb_copy_datagram_from_iter	0xaf40cfcb
skb_copy_datagram_iter	0xe2161436
skb_copy_expand	0x50ae741c
skb_dequeue	0x9b0b74c7
skb_free_datagram	0xc56d7559
skb_pull	0xeddb190e
skb_push	0x6367416f
skb_put	0xfddec350
skb_queue_head	0x5c26301d
skb_queue_purge	0x4e60e016
skb_queue_tail	0x6e3a5b6a
skb_recv_datagram	0x3c6dc244
skb_set_owner_w	0x58fb411e
skb_store_bits	0x87132d1c
skb_trim	0x8d82e354
skb_unlink	0x3b1d20e2
sock_alloc_send_pskb	0xdee15ed8
sock_create_kern	0x883648f5
sock_gettstamp	0x72f44f98
sock_init_data	0x1edbf285
sock_no_accept	0xd34e98b5
sock_no_listen	0x531395cf
sock_no_mmap	0xe9c3b020
sock_no_sendpage	0x6027f5cc
sock_no_shutdown	0x9ae197f1
sock_no_socketpair	0xf1e2d5f9
sock_queue_rcv_skb	0xf0ac0c25
sock_register	0x14e5d945
sock_release	0x5228b05b
sock_setsockopt	0x44bf2051
unregister_netdev	0x4f8abfa5
unregister_netdevice_queue	0xce1cf783
unregister_pernet_device	0xffe9e33d
wireless_send_event	0x9763921f
xfrm_lookup	0x9d232440
